PARAM,AVG_TIME,RUN,FAILED
1,266ms,1,0
1,237ms,2,0
1,175ms,3,0
10,690ms,1,0
10,581ms,2,0
10,455ms,3,0
20,549ms,1,0
20,448ms,2,0
20,433ms,3,0
50,759ms,1,0
50,636ms,2,0
50,661ms,3,0
100,1011ms,1,0
100,967ms,2,0
100,1020ms,3,0
1000,5364ms,1,1
1000,6112ms,2,1
1000,6713ms,3,1
