PARAM,AVG_TIME,RUN,FAILED
50,971ms,1,0
50,785ms,2,0
50,789ms,3,0
50,868ms,1,0
50,729ms,2,0
50,697ms,3,0
50,2532ms,1,0
50,784ms,2,0
50,637ms,3,0
